Texte|Score
préparer région Paris avenir - mission charge aménagement urbanisme - rendre vie meilleur million homme femme , habitant aujourd'hui demain ; faire région outil économique efficace service collectivité national ; mettre beauté ancien , créer beauté nouveau , Parisien visiteur pays lointain pouvoir aimer .|10.0
erroné , arrêter chiffre brut ( +3,2 million habitant 23 an ) , croire accroissement région Paris marque fin décentralisation entreprise dizaine année .|4.285714285714286
"mesure mieux effort métropole équilibre devoir accomplir parvenir taux croissance , nécessaire atteindre , vouloir contribuer "" soulager "" efficacement région parisien ."|7.142857142857143
"rappeler nouveau , partir moment nombre ville augmenter 3 % année important soutenir accroissement annuel ordre 2,5 % moyenne , commencer "" soulager "" Paris , triplement représenter effort considérable dépasser année récent ."|8.571428571428571
- prévoir nombre habitant région parisien trente-cinq an , prévoir vouloir freinage métropole équilibre ville bassin parisien : contraire prévoir essor année récent commencement réveil , faire hypothèse aller tripler an , minimum doubler ; an 2090 région Paris 14 million habitant , tôt .|7.142857142857143
léger céder pression quotidien exercée faveur besoin logement densifier abusivement rare terrain disponible agglomération actuel .|4.285714285714286
voir grand , sagesse garder réserve intra-muros temps hardiesse aller construire large périmètre urbain aujourd'hui . .|8.571428571428571
domaine subjectif , réussite échec réalisation pouvoir diversement apprécier ; indéniable toutefois passer heure jour , face mur aveugle cour obscur paysage dégager comporter morceau ciel verdure , différence .|5.714285714285714
affaire urbanisme sens strict : niveau aménagement régional déjà , surface site nécessaire meilleur architecture pouvoir ménagé compromis .|4.285714285714286
"Jadis limité mécène prince éclairé , presque disparu révolution industriel , prise conscience exister devoir "" construire beau "" devenir exigence collectif ."|7.142857142857143
ville , nécessité implantation jouer , niveau : - intérieur quartier : agencement implantation logement , atelier , bureau , >service public , transport ; - quartier : disposition , rapport , quartier fonction dominant résidence , emploi , commerce culture , ; - grand agglomération : composition , échelle géographie région urbain ensemble , ville constituer ( 2 ) , espace libre , forestier agricole .|7.142857142857143
"solution problème poser réalisation grand ouvrage programme équipement déterminant avenir agglomération pouvoir utilement formuler appui "" objectif 1975 "" ."|5.714285714285714
part retard lourd conséquence , plan urbanisme plan financier : pouvoir réaliser aisément coût normal aujourd'hui demanderait demain expropriation prouesse technique coûteux résultat imparfait .|7.142857142857143
fou prétendre faire mourir Paris mieux faire revivre ?|4.285714285714286
"ci-après : "" ) lenteur rénovation "" , page"|4.285714285714286
devoir étendre , au-delà statistique global , problème , ressenti , disparition rapide espace libre sein zone aggloméré .|4.285714285714286
1945 , situation améliorer ; contraire empiré .|2.857142857142857
RÉGION parisienne 1965 échelle : 1/500.000 progressivement espace laisser libre colmatent nombre - important insuffisant - logement , usine , bureau , manière implanter aggraver situation urbanisme , conduire situation présenter constater déplorer : espace libre disparition , banlieue sous-équipée moyen transport service public , centre congestionné , quartier vétuste lentement reprendre rénovation .|1.4285714285714286
"erroné espérer extension "" linéaire "" marquer fin développement tache huile : comparer terrain situer loin extension linéaire , "" terrain intervalle "" , , , œil vouloir construire , dépourvu avantage : moindre éloignement centre , mesurer kilomètre , souvent proximité réel zone déjà construire , équiper réseau eau , assainissement électricité ."|4.285714285714286
pouvoir public conduire autoriser construction logement zone , temps vouloir , notamment raison lenteur aménagement 5.000 hectare Z.U.P. indiquer promoteur , public ( 2 ) privé , emplacement préférable bâtir , c'est-à-dire zone extension agglomération doter équipement infrastructure nécessaire .|5.714285714285714
difficile , anormalement coûteux , implanter équipement pleinement satisfaisant sein proximité immédiat banlieue , permettre ville informe incomplet actuellement , majeur partie étendue .|2.857142857142857
insuffisance emploi cause faire implantation banlieue , situation actuel dernier , loin présenter avantage ; espace disponible grand , , centre , bureau atelier étroit caractéristique taudis ; sous-équipement banlieue créer difficulté transport personnel rapport clientèle ; poids impôt local , lourd Paris , fort inégal commune banlieue , contribuer également freiner meilleur répartition emploi ' agglomération .|4.285714285714286
faire , mesurer nombre logement détruire , rénovation avérer lent prévoir .|4.285714285714286
