Texte|Classe
préparer région Paris avenir - mission charge aménagement urbanisme - rendre vie meilleur million homme femme habitant aujourd'hui demain ; faire région outil économique efficace service collectivité national ; mettre beauté ancien créer beauté nouveau Parisien visiteur pays lointain pouvoir aimer .|Positive
"mesure mieux effort métropole équilibre devoir accomplir parvenir taux croissance nécessaire atteindre vouloir contribuer "" soulager "" efficacement région parisien ."|Positive
"rappeler nouveau partir moment nombre ville augmenter 3 % année important soutenir accroissement annuel ordre 25 % moyenne commencer "" soulager "" Paris triplement représenter effort considérable dépasser année récent ."|Positive
- prévoir nombre habitant région parisien trente-cinq an prévoir vouloir freinage métropole équilibre ville bassin parisien : contraire prévoir essor année récent commencement réveil faire hypothèse aller tripler an minimum doubler ; an 2090 région Paris 14 million habitant tôt .|Positive
voir grand sagesse garder réserve intra-muros temps hardiesse aller construire large périmètre urbain aujourd'hui . .|Positive
"Jadis limité mécène prince éclairé presque disparu révolution industriel prise conscience exister devoir "" construire beau "" devenir exigence collectif ."|Positive
ville nécessité implantation jouer niveau : - intérieur quartier : agencement implantation logement atelier bureau >service public transport ; - quartier : disposition rapport quartier fonction dominant résidence emploi commerce culture ; - grand agglomération : composition échelle géographie région urbain ensemble ville constituer ( 2 ) espace libre forestier agricole .|Positive
part retard lourd conséquence plan urbanisme plan financier : pouvoir réaliser aisément coût normal aujourd'hui demanderait demain expropriation prouesse technique coûteux résultat imparfait .|Positive
- niveau supérieur secteur ordre quart moitié arrondissement Paris opération rénovation intéressant pouvoir conçu combler lacune retard urbanisme ; niveau nécessaire ; niveau rare ; opération couvrir superficie hectare .|Positive
succès réhabilitation modernisation vieux quartier Paris banlieue lier extension agglomération .|Positive
"devoir attendre orientation précis extension réserve terrain équipement : composition "" creux "" "" "" ."|Positive
petit zone emploi créer auprès grand ensemble Massy sarcelle ; mise place facilité réduction montant redevance ; centre recherche implantent sud agglomération siège social ouest .|Positive
Dus initiative public privé marquer Paris sortir léthargie .|Positive
b ) nécessité urbanisme décalage importance construction étroitesse urbanisme mieux mieux percevoir .|Positive
changement dimension fondamental remédier mal déjà dénoncé : - faire face insuffisance clairement percevoir grand ensemble absence équipement collectif banlieue congestion centre remède créer centre urbain nouveau ville nouveau zone extension centre urbain renforcé diversifier rénové banlieue actuel ; - mettre fin pénurie terrain bâtir disparition espace libre falloir sortir hardiment périmètre agglomération fixer an choisir zone extension ; faciliter transport rapprocher habitat lieu loisir campagne extension spatial devoir canaliser axe préférentiel croissance progressif ville nouveau possible ; - permettre enfin interdépendance agglomération actuel extension venir espace construire espace libre ville agglomération campagne falloir organiser unité aller devenir agglomération parisien région urbain Paris .|Positive
prémiqre orientation améliorer réseau transport manière mettre centre portée habitant banlieue .|Positive
amélioration radical transport région Paris – apporter agglomération entier progrès décisif boulevard haussmann siècle métro Bienvenüe demi-siècle ville Paris c'est-à-dire raccourcissant distance réduire temps fatigue parcours - amélioration possible moyen moderne transport train autobus voiture bénéficier infrastructure convenable : ferré autoroute .|Positive
