fichier|dynamique_brut|dynamique_text|dynamique_type
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""destr"" n=1>percées</dyn>"|percées|dest
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" proces=""progr"" n=1>sans cesse grandissantes</dyn>"|sans cesse grandissantes|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""destr"" n=2>les trouées des <lieu type=""obj"" n=2>routes nationales</lieu></dyn>"|les trouées des routes nationales|dest
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""destr"" proces=""dur"">tombaient <lieu type=""obj"">les fortifications de Thiers</lieu></dyn>"|tombaient les fortifications de Thiers|dest
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea""><lieu type=""loc"">les zones</lieu> d'extension de <lieu type=""obj"">l'agglomération</lieu></dyn>"|les zones d'extension de l'agglomération|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"">cette expansion</dyn>"|cette expansion|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=1>avaient triplé</dyn>"|avaient triplé|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""oui"" nature=""crea"" n=2>ce triplement parisien</dyn>"|ce triplement parisien|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" proces=""dur"" n=1>poursuite de la croissance urbaine générale</dyn>"|poursuite de la croissance urbaine générale|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=2>un développement accentué des <lieu type=""obj"" n=2>villes de province</lieu></dyn>"|un développement accentué des villes de province|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=3>un développement moindre de <lieu type=""obj"" n=3>la région de Paris</lieu></dyn>"|un développement moindre de la région de Paris|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=4>la croissance de <lieu type=""obj"" n=4>la région de Paris</lieu> serait de 36 %</dyn>"|la croissance de la région de Paris serait de 36 %|cre
1965-SDAURP_CE_Oct23.txt|"<dyn accompli=""non"" nature=""crea"" n=5>s'accroîtraient ensemble de 54 %</dyn>"|s'accroîtraient ensemble de 54 %|cre
