Texte,Score
"Préparer la région de Paris à son avenir - mission de ceux qui ont la charge de son aménagement et de son urbanisme - c'est rendre la vie meilleure aux millions d'hommes et de femmes, ses habitants d'aujourd'hui et de demain; c'est faire de cette région un outil économique plus efficace au service de la collectivité nationale; c'est y mettre en valeur une beauté ancienne, y créer une beauté nouvelle, que le Parisien comme le visiteur du pays le plus lointain puisse aimer.",3.5714285714285716
"
Il serait erroné, s'arrêtant au chiffre brut (+3,2 millions d'habitants en 23 ans), de croire que cet accroissement de la région de Paris marque la fin de la décentralisation entreprise il y a une dizaine d'années.",2.142857142857143
"Ainsi l'on mesure mieux l'effort que certaines des métropoles d'équilibre doivent accomplir pour parvenir au taux de croissance, qu'il leur est nécessaire d'atteindre, si elles veulent contribuer à ""soulager"" efficacement la région parisienne.",2.142857142857143
"Rappelons-le à nouveau, ce n'est qu'à partir du moment où un certain nombre de ces villes augmentent de 3% chaque année environ et où les huit plus importantes d'entre elles auront soutenu un accroissement annuel de l'ordre de 2,5 % en moyenne, qu'elles commencent à ""soulager"" Paris, et un triplement représente un effort considérable dépassant de beaucoup celui des années récentes.",1.4285714285714286
"- Prévoir ce nombre d'habitants en région parisienne d'ici trente-cinq ans, ce n'est pas prévoir et encore moins vouloir un freinage des métropoles d'équilibre ou des villes du bassin parisien : c'est au contraire prévoir que leur essor des années récentes n'est que le commencement de leur réveil, c'est faire l'hypothèse que beaucoup d'entre elles vont tripler en moins de quarante ans, et les autres au minimum doubler; sinon ce n'est pas vers l'an 2090 que la région de Paris aurait plus de 14 millions d'habitants, mais plus tôt.",3.5714285714285716
Il serait donc léger de céder aux pressions quotidiennes exercées en faveur de besoins tels que le logement pour densifier abusivement les rares terrains disponibles dans les agglomérations actuelles.,2.142857142857143
"Voir grand, c'est avoir la sagesse de garder des réserves intra-muros en même temps que la hardiesse d'aller construire au large des périmètres urbains d'aujourd'hui ..",2.142857142857143
"Dans ce domaine plus subjectif, la réussite ou l'échec de telle ou telle réalisation peuvent être diversement appréciés; il est indéniable toutefois que passer huit ou dix heures par jour, face au mur aveugle d'une cour obscure ou devant un paysage dégagé comportant un morceau de ciel et de verdure, n'est pas une mince différence.",3.5714285714285716
"Et ce n'est pas seulement affaire d'urbanisme au sens strict : au niveau d'un aménagement régional déjà, les surfaces et les sites nécessaires à une meilleure architecture peuvent être ou ménagés ou compromis.",3.5714285714285716
"Jadis limitée à quelques mécènes et princes éclairés, presque disparue depuis la révolution industrielle, la prise de conscience qu'il existe un devoir de ""construire beau"" devient une exigence collective.",3.5714285714285716
"
Pour la ville, cette nécessité d'une bonne implantation joue aussi, mais à plusieurs niveaux :
- à l'intérieur du quartier : agencement de l'implantation des logements, des ateliers, des bureaux, des >services publics, des transports;
- pour les quartiers entre eux : disposition, les uns par rapport aux autres, des quartiers dont les fonctions dominantes de résidence, d'emplois, de commerces ou de culture, sont différentes;
- dans les très grandes agglomérations : composition, à l'échelle de la géographie de la région urbaine dans son ensemble, des différentes villes qui la constituent (2), et des espaces libres, forestiers et agricoles.",2.142857142857143
"Des solutions aux problèmes que pose la réalisation des grands ouvrages et des programmes d’équipement les plus déterminants pour l'avenir de l'agglomération peuvent donc être utilement formulées à l' appui des ""objectifs 1975"".",3.5714285714285716
